// 用户							
[User]							
Id	username	password	JS				
1	admin	password(123456)	系统管理员				
2	PPJL1	password(123456)	品牌经理				
3	PPJL2	password(123456)	品牌经理				
4	PPJL3	password(123456)	品牌经理				
5	PPJL4	password(123456)	品牌经理				
6	KFJL1	password(123456)	客服经理				
7	KFJL2	password(123456)	客服经理				
8	KFJL3	password(123456)	客服经理				
9	KFJL4	password(123456)	客服经理				
10	GZ1	password(123456)	柜长				
11	GZ2	password(123456)	柜长				
12	GZ3	password(123456)	柜长				
13	GZ4	password(123456)	柜长				
14	GTBA1	password(123456)	柜台BA				
15	GTBA2	password(123456)	柜台BA				
16	GTBA3	password(123456)	柜台BA				
17	GTBA4	password(123456)	柜台BA				
18	GTBA5	password(123456)	柜台BA				
19	GTBA6	password(123456)	柜台BA				
20	GTBA7	password(123456)	柜台BA				
21	GTBA8	password(123456)	柜台BA				
22	GYSGLY1	password(123456)	供应商管理员				
23	GYSGLY2	password(123456)	供应商管理员				
24	GYSGLY3	password(123456)	供应商管理员				
25	AZGSGLY1	password(123456)	安装公司管理员				
26	AZGSGLY2	password(123456)	安装公司管理员				
27	GTBA9	password(123456)	柜台BA				
28	GTBA10	password(123456)	柜台BA				
29	GTBA11	password(123456)	柜台BA				
30	GTBA12	password(123456)	柜台BA				
31	GTBA13	password(123456)	柜台BA				
32	GTBA14	password(123456)	柜台BA				
33	GTBA15	password(123456)	柜台BA				
34	GTBA16	password(123456)	柜台BA				
							
// 品牌							
[PP]							
id	name						
1	PP1						
2	PP2						
3	PP3						
							
[PPJL_PP]							
UserId	PPId						
2	1						
3	2						
4	3						
							
[KFJL_PP]							
UserId	PPId						
6	1						
7	2						
8	3						
							
[GZ_PP]							
UserId	PPId						
10	1						
11	1						
12	2						
13	2						
							
// 柜台							
[GT]							
id	name	code	PPId	QY	GTBAUserId	GZUserId	CS
1	GT1	1	1	东区	14	10	上海
2	GT2	2	1	东区	15	10	上海
3	GT3	3	1	北区	16	11	北京
4	GT4	4	1	北区	17	11	北京
5	GT5	5	2	东区	18	12	广州
6	GT6	6	2	东区	19	12	广州
7	GT7	7	2	北区	20	13	深圳
8	GT8	8	2	北区	21	13	深圳
							
[GT]							
id	name	code	PPId	QY	GTBAUserId	CS	
9	GT9	9	1	东区	27	上海	
10	GT10	10	1	东区	28	上海	
11	GT11	11	1	北区	29	北京	
12	GT12	12	1	北区	30	北京	
13	GT13	13	2	东区	31	广州	
14	GT14	14	2	东区	32	广州	
15	GT15	15	2	北区	33	深圳	
16	GT16	16	2	北区	34	深圳	
							
							
							
// 供应商							
[GYS]							
id	Name	type					
1	GYS1	生产					
2	GYS2	生产					
3	GYS3	中转					
4	GYS4	生产					
							
